representation,model,split,accuracy,f1,auc,ap
TUG,lr_l2,24,0.6388888888888888,0.6829268292682927,0.7,0.7137838589271145
TUG,lr_l2,25,0.6388888888888888,0.6666666666666666,0.73125,0.7561807329105
TUG,lr_l2,26,0.7027027027027027,0.7027027027027027,0.7764705882352941,0.7635230694266993
TUG,lr_l2,27,0.7222222222222222,0.75,0.7987616099071208,0.8391761087752612
TUG,lr_l2,28,0.8055555555555556,0.8372093023255814,0.8328173374613003,0.8303774326627511
TUG,lr_l2,29,0.75,0.7692307692307693,0.821875,0.8452679141698614
TUG,lr_l2,30,0.7222222222222222,0.7619047619047619,0.803125,0.8255662045399899
TUG,lr_l2,31,0.5675675675675675,0.6,0.6970588235294117,0.729020021426503
TUG,lr_l2,32,0.6666666666666666,0.6842105263157895,0.761609907120743,0.7658034664825835
TUG,lr_l2,33,0.75,0.7804878048780488,0.8575851393188854,0.8925659330276936
TUG,lr_l2,34,0.7222222222222222,0.7727272727272727,0.825,0.7927431827431827
TUG,lr_l2,35,0.8055555555555556,0.8292682926829268,0.86875,0.8988288158895121
TUG,lr_l2,36,0.6756756756756757,0.7,0.6852941176470588,0.6668767936841359
TUG,lr_l2,37,0.8055555555555556,0.8205128205128205,0.8235294117647058,0.8361793394627024
TUG,lr_l2,38,0.8888888888888888,0.9,0.9009287925696594,0.8951771344817621
TUG,lr_l2,39,0.7222222222222222,0.7619047619047619,0.84375,0.8914523297583643
TUG,lr_l2,40,0.7777777777777778,0.7894736842105263,0.79375,0.8463370908819203
TUG,lr_l2,41,0.7297297297297297,0.7619047619047619,0.8323529411764706,0.8616870185918384
TUG,lr_l2,42,0.75,0.7567567567567568,0.8390092879256966,0.7848274196824196
TUG,lr_l2,43,0.8333333333333334,0.8421052631578947,0.8823529411764706,0.8851299167642657
TUG,lr_l2,44,0.75,0.7804878048780488,0.846875,0.8918750017113397
TUG,lr_l2,45,0.6666666666666666,0.7,0.721875,0.7580753431911564
TUG,lr_l2,46,0.7837837837837838,0.8181818181818182,0.9117647058823529,0.9322118884166941
TUG,lr_l2,47,0.6944444444444444,0.6857142857142857,0.8359133126934984,0.859957907375765
TUG,lr_l2,48,0.6944444444444444,0.717948717948718,0.8452012383900929,0.8626795317971787
TUG,lr_l2,49,0.75,0.7804878048780488,0.784375,0.757107615413831
TUG,lr_l2,50,0.8055555555555556,0.8444444444444444,0.778125,0.8165143266792885
TUG,lr_l1,1,0.5945945945945946,0.5454545454545454,0.6941176470588235,0.7842165142181969
TUG,lr_l1,2,0.7222222222222222,0.782608695652174,0.8421052631578947,0.7704837207403608
TUG,lr_l1,3,0.75,0.7567567567567568,0.8637770897832817,0.8785736344808366
TUG,lr_l1,4,0.7222222222222222,0.7222222222222222,0.821875,0.861086868970383
TUG,lr_l1,5,0.6111111111111112,0.5882352941176471,0.784375,0.7762594069630683
TUG,lr_l1,6,0.6756756756756757,0.7142857142857143,0.7441176470588234,0.7268133725823398
TUG,lr_l1,7,0.6388888888888888,0.6666666666666666,0.7337461300309598,0.7868585578968872
TUG,lr_l1,8,0.7777777777777778,0.8,0.9226006191950464,0.937398634927239
TUG,lr_l1,9,0.6388888888888888,0.6060606060606061,0.7593750000000001,0.7423088229466948
TUG,lr_l1,10,0.75,0.7567567567567568,0.8625,0.8864202890314246
TUG,lr_l1,11,0.7027027027027027,0.6857142857142857,0.8294117647058823,0.8526723294868781
TUG,lr_l1,12,0.75,0.7692307692307693,0.7894736842105263,0.8198921862922159
TUG,lr_l1,13,0.6666666666666666,0.6470588235294118,0.8111455108359134,0.8304568338257436
TUG,lr_l1,14,0.6944444444444444,0.7441860465116279,0.746875,0.7228176337840828
TUG,lr_l1,15,0.5555555555555556,0.5294117647058824,0.675,0.7489898098937546
TUG,lr_l1,16,0.6216216216216216,0.6111111111111112,0.7088235294117647,0.7806376512582087
TUG,lr_l1,17,0.6944444444444444,0.6857142857142857,0.7585139318885449,0.7381306045454235
TUG,lr_l1,18,0.8333333333333334,0.8333333333333334,0.8978328173374612,0.9082214312446915
